Study ID;Title;Educational Level;Course Context;Instructional Objective;Additional Notes;;;;;;;;;;;;;;;;;;;
49;EvaAI: A Multi-agent Framework Leveraging Large Language Models for Enhanced Automated Grading;Not reported / unclear educational context;Programming courses (focused on languages and paradigms);"Code quality and style assessment; Introduction to programming and logic";;;;;;;;;;;;;;;;;;;;
50;EvalSeer: An Intelligent Gamified System for Programming Assignments Assessment;Not reported / unclear educational context;Programming courses (focused on languages and paradigms);"Code quality and style assessment; Introduction to programming and logic";;;;;;;;;;;;;;;;;;;;
51;Evaluating a large language model’s ability to solve programming exercises from an introductory bioinformatics course;Not reported / unclear educational context;Interdisciplinary courses (programming as part of another course);Other / specify;The study evaluates ChatGPT's ability to solve programming exercises from the course, using 184 exercises in total.;;;;;;;;;;;;;;;;;;;
52;Evaluating Copilot on CS1 Code Writing Problems with Suppressed Specifications;Not reported / unclear educational context;Programming courses (focused on languages and paradigms);Other / specify;The study evaluates GitHub Copilot's ability to solve introductory programming (CS1) problems when specifications are intentionally suppressed.;;;;;;;;;;;;;;;;;;;
53;Evaluating GPT for use in K-12 Block Based CS Instruction Using a Transpiler and Prompt Engineering;K-12 (unspecified);Computing;Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
54;Evaluating LLMs for Automated Scoring in Formative Assessments;Undergraduate / Higher Education;Computing;Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
55;Evaluating the Impact of ChatGPT on Exercises of a Software Security Course;Undergraduate / Higher Education;Interdisciplinary courses (programming as part of another course);Not specified or extraction issue;;;;;;;;;;;;;;;;;;;;
56;Evaluation of LLM Tools for Feedback Generation in a Course on Concurrent Programming;Undergraduate / Higher Education;Computing;Code quality and style assessment;;;;;;;;;;;;;;;;;;;;
57;Exercise Generation and Student Cognitive Ability Research Based on ChatGPT and Rasch Model;Undergraduate / Higher Education;Other / specify;Other / specify;The study focuses on an operating systems course and aims to improve instructors' exercise design by creating personalized exercises aligned with students' skill levels.;;;;;;;;;;;;;;;;;;;
58;Explainable Artificial Intelligence for Workflow Verification in Visual IoT/Robotics Programming Language Environment;Not reported / unclear educational context;Not applicable;Not specified or extraction issue;;;;;;;;;;;;;;;;;;;;
59;Explaining Code with a Purpose: An Integrated Approach for Developing Code Comprehension and Prompting Skills;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Other / specify;Developing code comprehension and prompt-writing skills.;;;;;;;;;;;;;;;;;;;
60;Exploring the Responses of Large Language Models to Beginner Programmers’ Help Requests;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
61;FastFixer: An Efficient and Effective Approach for Repairing Programming Assignments;Undergraduate / Higher Education;Computing;Code quality and style assessment / automated program correction;;;;;;;;;;;;;;;;;;;;
62;Feedback-Generation for Programming Exercises With GPT-4;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
63;Generating Situated Reflection Triggers About Alternative Solution Paths: A Case Study of Generative AI for Computer-Supported Collaborative Learning;Undergraduate / Higher Education;Other / specify;"Other / specify; Code quality and style assessment";SQL optimization task for database design, involving multiple solution paths and complex trade-off evaluation.;;;;;;;;;;;;;;;;;;;
64;Generative AI for Programming Education: Benchmarking ChatGPT, GPT-4, and Human Tutors;Not reported / unclear educational context;Not applicable;Not specified or extraction issue;;;;;;;;;;;;;;;;;;;;
65;Generative AI in the Software Modeling Classroom: An Experience Report with ChatGPT and UML;Undergraduate / Higher Education;Other / specify;Other / specify;Whether students who used AI support in formative assessments perform better in summative assessments.;;;;;;;;;;;;;;;;;;;
66;GPTutor: A ChatGPT-Powered Programming Tool for Code Explanation;Not reported / unclear educational context;Not applicable;Not specified or extraction issue;;;;;;;;;;;;;;;;;;;;
67;Grading Generative AI-based Assignments Using a 3R Framework;Not reported / unclear educational context;Not applicable;Not specified or extraction issue;;;;;;;;;;;;;;;;;;;;
68;Grading Programming Assignments by Summarization;Not reported / unclear educational context;Not applicable;Not specified or extraction issue;;;;;;;;;;;;;;;;;;;;
69;Graph Neural Networks for Mapping Variables Between Programs;Not reported / unclear educational context;Not applicable;Other / specify;A specific motivation is overcoming limitations of existing automatic program repair tools for introductory programming assignments, which often require exact matches in control-flow structures and bijective relationships between variables.;;;;;;;;;;;;;;;;;;;
70;How Useful TutorBot+ is for Teaching and Learning in Programming Courses: a Preliminary Study;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
71;Identifying Student Profiles Within Online Judge Systems Using Explainable Artificial Intelligence;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Advanced programming skills development;;;;;;;;;;;;;;;;;;;;
72;Intelligent Deep-Learning Tutoring System to Assist Instructors in Programming Courses;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
73;Investigating the Role of ChatGPT in Supporting Text-Based Programming Education for Students and Teachers;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
74;Iris: An AI-Driven Virtual Tutor for Computer Science Education;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
75;JorGPT: Instructor-Aided Grading of Programming Assignments with Large Language Models (LLMs);Undergraduate / Higher Education;Computing;Code quality and correctness assessment;;;;;;;;;;;;;;;;;;;;
76;LLM Generative AI and Students' Exam Code Evaluation: Qualitative and Quantitative Analysis;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
77;Machine Learning based Code Assessment Systems;Not reported / unclear educational context;Not applicable;"Introduction to programming and logic; Code quality and style assessment";;;;;;;;;;;;;;;;;;;;
78;Monitoring and Facilitating Students Programming Skill Development using Robotic Process Automation (RPA) and Artificial Intelligence (AI) – A Case Study;Undergraduate / Higher Education;Other / specify;Other / specify;Monitoring programming skills and providing personalized reports.;;;;;;;;;;;;;;;;;;;
79;Monitoring Programming Styles in Massive Open Online Courses Using Source Embedding;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Other / specify;Analysis of programming styles and programming behavior.;;;;;;;;;;;;;;;;;;;
80;Next-Step Hint Generation for Introductory Programming Using Large Language Models;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Other / specify;Learning support through automatic suggestions.;;;;;;;;;;;;;;;;;;;
81;"On the Applicability of Language Models
to Block-Based Programs";Elementary school;Other / specify;Other / specify;Assessing the feasibility of using LLMs in block-based computing education.;;;;;;;;;;;;;;;;;;;
82;Online Tutoring and Plagiarism-Aware Authentic Assessment of Database Design Assignments;Undergraduate / Higher Education;;Other / specify;Improving practical learning in database modeling and reducing plagiarism.;;;;;;;;;;;;;;;;;;;
83;OPTES: A Tool for Behavior-based Student Programming Progress Estimation;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);"Practical project work; Advanced programming skills development";;;;;;;;;;;;;;;;;;;;
84;Predicting Student Failure using Peer-based Evaluation and Ratings;Postgraduate;Programming courses (focused on languages and paradigms);Advanced programming skills development;;;;;;;;;;;;;;;;;;;;
85;Prompt Problems: A New Programming Exercise for the Generative AI Era;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);"Introduction to programming and logic; Other / specify";The main educational objective is to develop the emerging skill of solving programming tasks by constructing effective prompts for AI code generation models (LLMs).;;;;;;;;;;;;;;;;;;;
86;Prompting for Comprehension: Exploring the Intersection of Explain in Plain English Questions and Prompt Writing;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);"Introduction to programming and logic; Other / specify";Developing and assessing students' ability to read, understand, and communicate the purpose of code. Students explained code through a prompt, which generated new code that was then submitted to test cases.;;;;;;;;;;;;;;;;;;;
87;PyDex: Repairing Bugs in Introductory Python Assignments using LLMs;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
88;Recommendations to Create Programming Exercises to Overcome ChatGPT;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
89;Research on Defect Location Method of C Language Code Based on Deep Learning;Not reported / unclear educational context;Not applicable;Not specified or extraction issue;;;;;;;;;;;;;;;;;;;;
90;Revolutionizing eLearning Assessments: The Role of GPT in Crafting Dynamic Content and Feedback;Not reported / unclear educational context;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
91;Rubric Is All You Need: Improving LLM-Based Code Evaluation With Question-Specific Rubrics;Undergraduate / Higher Education;Computing;Code quality, logical correctness, and code structure assessment;;;;;;;;;;;;;;;;;;;;
92;SCG_FBS: A Code Grading Model for Students' Program in Programming Education;Not reported / unclear educational context;Other / specify;Code quality and style assessment;;;;;;;;;;;;;;;;;;;;
93;Speeding Up Automated Assessment of Programming Exercises;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
94;Student Mastery or AI Deception? Analyzing ChatGPT's Assessment Proficiency and Evaluating Detection Strategies;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);"Introduction to programming and logic; Other / specify";The effectiveness of generative AI, specifically ChatGPT 3.5, was evaluated for three common CS courses: CS1, CS2, and databases (DB) at a large research-intensive university.;;;;;;;;;;;;;;;;;;;
95;Student Outcome Assessment on Structured Query Language using Rubrics and Automated Feedback Generation;Undergraduate / Higher Education;Other / specify;Other / specify;The article does not focus on programming education directly, but on the assessment of SQL commands using SQL exercise submissions to build an automatic assessment system.;;;;;;;;;;;;;;;;;;;
96;Student's Academic Performance Prediction in The Programming Techniques Course By Using Machine Learning Methods;Not reported / unclear educational context;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
97;SynShine: Improved Fixing of Syntax Errors;Not reported / unclear educational context;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
98;System for Detecting Learner Stuck in Programming Learning;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
99;The AI Companion in Education: Analyzing the Pedagogical Potential of ChatGPT in Computer Science and Engineering;Undergraduate / Higher Education;Other / specify;Not specified or extraction issue;;;;;;;;;;;;;;;;;;;;
100;Tinkering Behavior Detector Using Multiple Linear Regression: Development of Intelligent Tutoring System for Novice C Programmers;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
101;Toward semi-automatic misconception discovery using code embeddings;Undergraduate / Higher Education;Programming courses (focused on languages and paradigms);Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
102;Towards Deep Learning Models for Automatic Computer Program Grading;Not reported / unclear educational context;Other / specify;Not specified;;;;;;;;;;;;;;;;;;;;
103;Traditional and AI Tools for Teaching Concurrency;Not reported / unclear educational context;Programming courses (focused on languages and paradigms);Advanced programming skills development;;;;;;;;;;;;;;;;;;;;
104;Unveiling Hidden Patterns: Clustering Algorithms on C Code embedding;Not reported / unclear educational context;Not applicable;Other / specify;The article does not report a real educational setting with students, a specific course, teaching modality, course type, or defined discipline. Its main focus is applying machine learning, especially clustering algorithms, to analyze code embeddings from C programs and compare clusters with expert evaluations.;;;;;;;;;;;;;;;;;;;
105;Using GenAI to Assess Design Patterns in Student-Written Code;Undergraduate / Higher Education;Computing / Software Engineering;Code quality and structure assessment;;;;;;;;;;;;;;;;;;;;
106;Using Machine Learning to Identify Patterns in Learner-Submitted Code for the Purpose of Assessment;Not reported / unclear educational context;Not applicable;Introduction to programming and logic;;;;;;;;;;;;;;;;;;;;
