#;Title;Authors;Year (source);Venue;DOI;Source URL
81;"On the Applicability of Language Models
to Block-Based Programs";Griebl, Elisabeth and Fein, Benedikt and Obermüller, Florian and Fraser, Gordon and Just, René;2023;Proceedings of the 45th International Conference on Software Engineering (ICSE '23);10.1109/ICSE48619.2023.00199;https://doi.org/10.1109/ICSE48619.2023.00199
82;Online Tutoring and Plagiarism-Aware Authentic Assessment of Database Design Assignments;Jamil, Hasan M.;2023;2023 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE);;https://api.semanticscholar.org/CorpusID:267260370
83;OPTES: A Tool for Behavior-based Student Programming Progress Estimation;Zhuang, Yuqian and Wang, Liang and Zhang, Mingya and Lin, Shan and Hu, Hao and Tao, Xianping;2023;2023 IEEE 47th Annual Computers, Software, and Applications Conference (COMPSAC);10.1109/COMPSAC57700.2023.00025;https://doi.org/10.1109/COMPSAC57700.2023.00025
84;Predicting Student Failure using Peer-based Evaluation and Ratings;Hegde, Vinayak and Surendran, Nimisha and M, Vaishnavi;2023;2023 14th International Conference on Computing Communication and Networking Technologies (ICCCNT);10.1109/ICCCNT56998.2023.10308388;https://doi.org/10.1109/ICCCNT56998.2023.10308388
85;Prompt Problems: A New Programming Exercise for the Generative AI Era;Denny, Paul and Leinonen, Juho and Prather, James and Luxton-Reilly, Andrew and Amarouche, Thezyrie and Becker, Brett A. and Reeves, Brent N.;2024;Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1;10.1145/3626252.3630909;https://doi.org/10.1145/3626252.3630909
86;Prompting for Comprehension: Exploring the Intersection of Explain in Plain English Questions and Prompt Writing;Smith, David H. and Denny, Paul and Fowler, Max;2024;Proceedings of the Eleventh ACM Conference on Learning @ Scale (L@S 2024);10.1145/3657604.3662039;https://doi.org/10.1145/3657604.3662039
87;PyDex: Repairing Bugs in Introductory Python Assignments using LLMs;Zhang, Jialu and Cambronero, José Pablo and Gulwani, Sumit and Le, Vu and Piskac, Ruzica and Soares, Gustavo and Verbruggen, Gust;2024;Proceedings of the ACM on Programming Languages;10.1145/3649850;https://doi.org/10.1145/3649850
88;Recommendations to Create Programming Exercises to Overcome ChatGPT;Berrezueta-Guzman, Jonnathan and Krusche, Stephan;2023;2023 IEEE 35th International Conference on Software Engineering Education and Training (CSEE\&T);10.1109/CSEET58097.2023.00031;https://doi.org/10.1109/CSEET58097.2023.00031
89;Research on Defect Location Method of C Language Code Based on Deep Learning;Zhang, Yaling and Zhou, Jie and Hu, Jing;2021;2021 16th International Conference on Computer Science & Education (ICCSE);10.1109/ICCSE51940.2021.9569383;https://doi.org/10.1109/ICCSE51940.2021.9569383
90;Revolutionizing eLearning Assessments: The Role of GPT in Crafting Dynamic Content and Feedback;Bernal, Michael E.;2024;Journal of Artificial Intelligence and Technology;10.37965/jait.2024.0513;https://doi.org/10.37965/jait.2024.0513
